toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
4256.01,77102895,FP,1.0962372,2460.0,2.336,2459303.475037,15.7533,6446.8,2496.0,12.7158,6519.0,3.25,3.54,1391.51,141.247814,-42.799765
4257.01,75208638,FP,4.6512523,3110.0,2.251,2459990.712909,6.22936,432.038,1270.0,11.7159,7192.0,1.1,4.56,407.374,138.741096,-45.122969
4258.01,74484886,FP,3.8505662,6070.0,2.499,2459298.033322,16.5768,475.693,1301.0,13.3285,6353.0,2.13,3.88,1080.66,137.490377,-43.201719
4259.01,268643535,PC,8.9612626,11333.9389745,1.8325932,2459963.456678,17.0901716,235.8695308,999.5113045,11.9452,5435.5,1.1706899,,390.587,117.330048,-51.261706
4476.01,399794420,KP,1.5947535,15065.2565497,1.94145,2459421.077646,14.3739674,1761.2885419,1652.2561498,15.0236,5703.0,1.15986,4.31786,1490.94,285.213819,39.027466
4477.01,64531556,FP,7.8127906,8120.0,6.304,2459813.939921,22.0599,2051.05,1874.0,11.7018,8451.0,2.38,4.00707,782.732,309.461444,37.155939
4478.01,233823679,PC,2.7586362,4240.0,2.868,2459819.787515,7.78435,787.087,1475.0,11.4682,5774.0,1.17,4.32015,296.293,303.549181,54.694405
4479.01,126606859,CP,1.1589013,3470.6759302,1.1688702,2459797.406342,2.6829722,88.1856149,781.5723494,12.9374,3449.0,0.427389,4.80176,80.6532,316.096939,24.653674
448.01,1528696,CP,0.8820624,11755.4509288,0.5759672,2458438.402842,8.3888941,983.4245957,1428.2525761,13.1686,4669.0,0.782888,4.52,308.262,75.795382,-30.399461
4480.01,377873569,KP,3.8493846,1372.2876678,2.6908269,2459771.442186,16.8088001,6689.7863925,2306.6027861,11.0418,5843.47,3.9119101,3.27448,788.238,294.356556,38.947342
4481.01,239332587,CP,0.9263237,952.0,0.81,2460559.015552,1.67823,303.547,1162.0,8.72762,3573.0,0.43,4.80376,12.0445,311.2697,44.500235
4482.01,27990610,KP,2.8164979,19270.727034,2.6896665,2459772.312716,14.4894174,539.3972356,1229.1274806,14.4889,5413.0,1.0130399,4.39994,939.744,297.015464,49.225299
4483.01,209752908,KP,1.752217,77630.4124578,2.1714375,2459420.283409,20.3177656,282.3101387,1045.4454298,15.1403,4355.0,0.740712,4.53128,565.541,297.790921,16.912568
4484.01,272707711,PC,2.6890703,38330.4094984,2.1209962,2459420.963218,15.2271225,248.5292583,1012.661107,15.0893,4844.0,0.785703,4.54518,734.772,296.683099,42.967882
4485.01,137903329,KP,7.3405675,11139.7005929,3.2557004,2459423.155978,16.7317044,378.0645504,1124.6340774,13.9154,5828.81,1.4372801,4.14418,1177.55,293.092528,41.35551
4486.01,99224131,KP,2.6915408,7265.0,3.986,2460558.071975,17.4501,4392.03,2267.0,9.93225,6955.0,1.96,4.04,350.351,305.441329,26.692676
4487.01,193754373,PC,3.9540617,5820.0,3.869,2459818.051018,13.1238,792.078,1477.0,11.4923,5773.0,1.69,4.03,479.145,306.422081,45.971031
4488.01,269269546,KP,4.45417,21409.0524466,2.27143,2459798.529256,13.8017218,233.7193811,997.225629,14.3945,5353.54,0.922087,4.47701,751.776,299.905917,45.43961
4489.01,267572272,KP,2.7974757,18699.8504805,2.2149132,2459911.038989,12.0149088,412.3913581,1149.3363399,12.7678,5477.0,0.867368,4.54393,390.594,284.296039,51.269121
449.01,139528693,KP,2.1751729,7780.6435196,4.7918806,2459175.58961,18.7874019,4812.6238237,2124.2969654,11.8282,6291.0,2.0625999,3.9,754.258,63.756266,-22.11639
4709.01,317328621,APC,6.2397532,11490.0,3.209,2459220.512929,7.89594,587.658,1371.0,12.8771,5956.9,0.5,,,87.490493,-12.835212
471.01,47911178,KP,3.5857076,11813.302926,2.7072065,2459223.302264,15.8525901,1089.1709863,1465.1893915,9.79059,6400.0,1.34556,4.34435,201.224,98.351102,-23.486086
4710.01,144486060,PC,1.4798437,3090.0,2.702,2459226.526882,8.37272,2205.43,1909.0,12.8983,5475.0,1.5,4.07,713.662,84.166705,-38.519128
4711.01,177718896,PC,3.7081082,1490.0,6.54,2459221.348914,13.6266,1874.58,1833.0,12.6127,5337.0,3.56,,1162.16,107.311621,-11.063261
4712.01,317089770,PC,8.8720052,4370.0,3.592,2459221.840496,8.76898,117.013,916.0,12.4505,5626.0,1.31,4.2,494.543,86.421113,-12.128385
4713.01,102542376,APC,2.9532479,6210.0,3.095,2459224.623802,,2007.04,1864.0,11.8362,7076.3,,,1028.39,89.640838,10.220589
4714.01,251111783,PC,7.9144674,20760.0,3.114,2459219.562126,14.5746,80.2209,833.0,13.2837,5431.0,1.0,4.42,517.611,94.936966,-5.719195
4715.01,268372005,FP,6.4274159,3940.0,1.277,2459214.764692,12.9491,41.0821,705.0,11.907,6227.0,1.58,4.12,583.6,105.00193,-2.339506
4716.01,268689126,PC,5.2376102,3830.0,6.518,2459218.398096,16.2444,3686.59,2170.0,12.9871,7666.0,2.59,3.87,2046.79,105.24334,-2.259145
4717.01,269190305,PC,4.1583367,9610.0,3.043,2459219.329857,16.0152,1509.9,1736.0,13.187,8131.7,1.55,4.35,1422.73,105.737414,-0.80334
4718.01,234958949,PC,5.1409029,5830.0,2.265,2459220.398799,8.29803,207.445,1057.0,12.6581,6282.4,1.07,4.47,563.123,98.690645,4.395871
4719.01,306363166,PC,14.3953055,17315.0,2.87,2459201.745874,11.615,23.3681,612.0,12.4967,4850.0,0.77,4.56,239.104,91.094456,-16.340258
472.01,52280468,APC,0.5682596,42540.0,0.755,2459226.783631,24.8489,138.045,954.0,12.3123,3294.0,0.5,4.438,,99.86703,-33.540223
4720.01,124322274,PC,3.7810832,8030.0,3.069,2459225.607183,15.3456,702.278,1434.0,13.3224,6364.0,1.59,4.14,1113.96,104.182427,-7.824428
