tic_id,Tmag,Teff,e_Teff,logg,e_logg,rad,e_rad,mass,e_mass,rho,e_rho,lum,MH,d,e_d,ebv,contratio,numcont,priority,disposition,gaiabp,gaiarp,plx,e_plx,Vmag,Jmag,Hmag,Kmag
271168962,9.47199,5678.5,118.766,3.85895,0.0794955,1.95757,0.0975076,1.01,0.127613,0.134638,0.0291633,3.58975434,-0.25,200.075,2.625,0.0227124,0.009259533,172,0.0009894632,,10.1764,9.4259,4.97065,0.06507,10.068,8.895,8.653,8.573
164150539,10.3126,5772.0,123.216,4.07391,0.0794,1.54647,0.0748618,1.034,0.132868,0.279575,0.0605225,2.391559,,244.043,3.7655,0.0354305,0.0689873248,173,0.0009670046,,11.1278,10.26,4.07017,0.0627317,10.843,9.648,9.312,9.236
284050395,9.74734,5421.0,130.6,4.46281,0.0788437,0.944316,0.0517788,0.944,0.114837,1.12104,0.252632,0.693820059,,104.358,0.339,0.0162825,0.2989004,598,0.0003310411,,10.6608,9.7001,9.55362,0.0308854,10.393,9.032,8.685,8.594
126325985,12.5192,5909.0,131.352,4.28627,0.0806108,1.23194,0.0602638,1.07,0.138492,0.572284,0.128498,1.66698587,,534.889,7.618,0.0828351,0.0558588356,505,0.0,,13.3499,12.4622,1.84118,0.0264191,13.202,11.866,11.568,11.511
159951311,11.7276,5151.0,139.229,4.52216,0.0903798,0.846671,0.0549573,0.87,0.106212,1.43343,0.371302,0.454663426,,212.472,1.104,0.00890314,0.009451731,31,0.001183538,,12.7325,11.6772,4.67768,0.0242742,12.456,10.982,10.575,10.472
339672028,9.3935,5803.0,133.685,3.97993,0.077536,1.72816,0.0853266,1.04,0.129043,0.201503,0.0429866,3.0512197,,179.366,1.0125,0.0408357,0.0217233971,185,0.00402762834,,10.2194,9.35424,5.54651,0.0312411,9.972,8.803,8.482,8.443
189380158,13.0942,6026.0,122.0,4.40685,,1.09703,,1.12,,0.848337,,1.42969811,,666.802,14.9475,0.0423994,,,,,13.832,13.0326,1.47114,0.0333579,13.78,12.468,12.202,12.1
321668398,11.5429,6310.0,141.687,4.10397,0.0906479,1.63591,0.0772688,1.24,0.193855,0.283232,0.0684158,3.82236338,,527.995,5.7555,0.0363165,0.12925832,86,0.00103628333,,12.1989,11.4921,1.8652,0.0204884,12.026,11.058,10.789,10.747
66356824,12.4245,5671.0,127.524,4.18936,0.0804288,1.33818,0.0724522,1.01,0.126219,0.421478,0.0958581,1.66864753,,551.619,12.738,0.0151895,0.00182010117,25,0.000295523059,,13.2443,12.3706,1.78448,0.0415351,13.129,11.772,11.47,11.407
399402994,11.8886,5962.0,120.951,4.32795,0.0766859,1.18678,0.056784,1.093,0.135176,0.653901,0.140363,1.60325074,,398.505,7.0105,0.0639466,0.4847945,438,0.0004029141,,12.6789,11.8319,2.48163,0.0437948,12.469,11.263,10.913,10.892
326919774,8.19,9146.0,140.155,3.45475,0.0733382,4.72499,0.203831,2.32,0.31402,0.0219931,0.00431169,140.740936,,519.941,18.4675,0.0525885,0.00758007,174,0.000523356663,,8.2916,8.15834,1.89691,0.067715,8.25,7.994,8.014,7.973
