toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
7587.01,294668702,PC,36.9078303,1255.5875969,6.3213258,2460865.649717,4.0331038,69.2743901,803.6514602,12.1653,5689.56,1.24392,4.25281,433.746,70.668131,-67.093887
6856.01,254301731,PC,0.6541517,35193.0,0.823,2460206.118513,15.3922,159.123,989.0,14.9737,3657.0,0.69,4.58,446.864,355.409997,-28.336727
6857.01,281596890,PC,10.0512067,22227.0,1.763,2460195.35678,5.57868,2.59874,353.0,14.504,3428.0,0.38,4.84,145.095,8.810668,-55.889296
6858.01,201254754,PC,3.3024845,1241.0,1.465,2460202.53261,1.73871,26.3567,631.0,11.8272,3634.0,0.49,4.75,61.1486,1.512156,-58.935221
6859.01,237909527,PC,9.6804752,10071.0,3.922,2460188.562657,11.5702,100.27,881.0,12.6565,5622.0,1.16,4.31,520.499,21.648785,-63.96451
686.01,339857675,PC,3.5137609,333.5976712,1.7579691,2458492.222242,3.3397496,1686.8366029,1634.511587,9.9362,6279.8,1.59007,4.26,255.337,111.601066,-54.452065
6860.01,36646052,PC,0.6183488,5306.0,0.587,2460232.578666,10.2266,538.344,1341.0,12.9887,5272.0,1.2,4.23,557.124,342.792364,-6.779791
6861.01,293267224,PC,3.7942532,6913.0,3.769,2460232.158547,11.3603,713.321,1439.0,12.3945,5753.6,1.6,4.04,660.159,4.043933,3.137181
6862.01,408508003,PC,8.2241876,8621.0,3.501,2460225.54574,11.9576,117.339,916.0,11.8423,5669.2,1.31,4.21,383.433,3.539406,7.115538
6863.01,419957314,PC,7.8407154,5326.0,2.891,2460247.384759,9.86579,100.923,883.0,13.0613,5703.0,1.31,4.21,715.613,31.091545,4.33968
6864.01,25959926,PC,15.5106583,5014.0,4.356,2460255.84952,6.93651,48.5457,735.0,12.6092,5472.0,1.06,4.37,384.084,51.570524,23.000347
6865.01,405269313,PC,2.4465664,2778.0,1.753,2460231.800776,4.74384,114.336,910.0,12.7937,4185.5,0.88,4.37,211.088,0.935669,11.332234
6867.01,405230669,PC,3.6810755,8544.0,2.49,2460231.339643,8.85628,259.808,1118.0,13.0507,5465.0,0.95,4.46,463.319,0.318198,12.040073
6868.01,408506314,PC,3.4106422,4984.0,4.174,2460227.771761,11.8996,804.639,1483.0,12.8562,5222.0,1.89,3.83,708.514,3.276119,7.660267
6869.01,28872266,PC,763.9701133,28404.0,3.659,2459466.023416,8.20454,0.0022765,60.0,14.2212,3671.0,0.53,4.71,200.19,49.593526,24.277814
