tid,pl_orbper,label,pl_trandep,pl_tranmid
274170255,1.41072,false_positive,500.0,2458712.04951
276360911,0.44482,false_positive,1610.0,2458738.89623
313506357,1.532703,false_positive,1250.0,2459880.029372
328167090,0.7131492,false_positive,450.0,2459880.756663
329864959,4.52318,false_positive,25109.1,2458739.96744
343019899,25.8386422,planet,1806.0,2460561.017924
343442463,0.78381,false_positive,426.099,2458739.5222
346338552,4.4652986,planet,14440.0,2460606.436882
62483237,11.0708575,planet,1149.7328034,2458334.891563
365389353,2.6380089,false_positive,1683.0,2460605.160178
389182138,2.7260173,false_positive,1165.0,2460610.162144
416987878,2.86876,false_positive,1030.0,2458712.7665
430528566,0.5590256,false_positive,660.0,2460405.442909
431156009,2.958148,false_positive,980.0,2460403.663304
468472950,0.98736,false_positive,370.0,2458712.35831
468845640,3.99307,false_positive,3892.81,2458741.72914
64553698,8.6795072,false_positive,10160.0,2458965.050909
66783360,1.3812787,false_positive,1573.0,2459881.30632
258801269,5.48923,false_positive,910.0,2458689.02568
259126549,7.3845072,false_positive,25160.0,2459658.948928
259129875,0.43889,false_positive,650.0,2458684.09715
198356533,18.840891,planet,331.0,2460660.183368
229650439,5.1396666,planet,769.5996824,2460641.839847
232982558,27.6438617,planet,560.0,2460638.545561
261136679,6.267832,planet,321.0,2460011.550653
235683377,0.4090681,planet,1281.2294665,2459768.708421
237232044,23.5407467,planet,956.0,2460623.584541
258514800,0.4702719,planet,209.49313,2458711.369295
298073824,1.2273079,false_positive,66.4147779,2458684.362799
343628284,8.0970819,planet,4723.0724376,2459857.185608
377293776,2.0439268,planet,465.1929875,2459662.335574
417931607,16.5379864,planet,608.0,2460348.107581
420112589,11.0619937,planet,3249.1164334,2459731.359311
198390247,6.5886877,planet,852.0,2460660.40937
199376584,18.712253,planet,6066.0,2460544.753267
164173105,3.0726434,planet,10471.4949697,2459827.0017
224600500,0.6763235,false_positive,30.1617977,2458684.277966
311035838,2.8997405,planet,13760.0,2459661.5681
321857016,6.9561134,planet,15989.231101,2459830.458192
329277372,2.8879675,false_positive,23489.3314084,2459854.509943
333473672,13.001789,planet,1339.5837664,2459864.063759
346418409,2.7556532,false_positive,2854.4589288,2458740.961818
418959198,4.8962484,false_positive,1186.0289925,2459827.504099
128501004,0.78999,false_positive,5750.0,2458739.0012
2041563029,12.80758,false_positive,27112.7,2458747.00971
377304435,11.35626,false_positive,2190.0,2458691.56061
138968089,0.6412558,false_positive,1029.5348333,2458711.558151
